Epoch: 102   |   Top1: 54.91892%   |   Top5: 90.16216%   |   Top10: 95.89189%
Epoch: 103   |   Top1: 58.59459%   |   Top5: 90.7027%   |   Top10: 95.56757%
Epoch: 104   |   Top1: 58.05405%   |   Top5: 90.91892%   |   Top10: 96.75676%
Epoch: 105   |   Top1: 58.27027%   |   Top5: 92.0%   |   Top10: 97.40541%
Epoch: 106   |   Top1: 60.32432%   |   Top5: 93.40541%   |   Top10: 96.97297%
Epoch: 107   |   Top1: 56.75676%   |   Top5: 90.48649%   |   Top10: 95.35135%
Epoch: 108   |   Top1: 50.05405%   |   Top5: 85.72973%   |   Top10: 93.2973%
Epoch: 109   |   Top1: 50.81081%   |   Top5: 87.56757%   |   Top10: 94.59459%
Epoch: 110   |   Top1: 55.24324%   |   Top5: 88.64865%   |   Top10: 95.24324%
Epoch: 111   |   Top1: 57.72973%   |   Top5: 90.48649%   |   Top10: 96.21622%
Epoch: 112   |   Top1: 54.37838%   |   Top5: 90.16216%   |   Top10: 95.45946%
Epoch: 113   |   Top1: 56.64865%   |   Top5: 92.54054%   |   Top10: 96.86486%
Epoch: 114   |   Top1: 58.91892%   |   Top5: 92.75676%   |   Top10: 97.2973%
Epoch: 115   |   Top1: 51.45946%   |   Top5: 88.97297%   |   Top10: 95.89189%
Epoch: 116   |   Top1: 55.02703%   |   Top5: 91.24324%   |   Top10: 96.32432%
Epoch: 117   |   Top1: 57.18919%   |   Top5: 91.56757%   |   Top10: 96.64865%
Epoch: 118   |   Top1: 61.2973%   |   Top5: 94.91892%   |   Top10: 98.7027%
Epoch: 119   |   Top1: 59.35135%   |   Top5: 93.72973%   |   Top10: 97.40541%
Epoch: 120   |   Top1: 57.83784%   |   Top5: 93.51351%   |   Top10: 97.83784%
Epoch: 121   |   Top1: 52.32432%   |   Top5: 89.08108%   |   Top10: 94.91892%
Epoch: 122   |   Top1: 48.97297%   |   Top5: 86.91892%   |   Top10: 94.05405%
Epoch: 123   |   Top1: 59.67568%   |   Top5: 93.72973%   |   Top10: 97.18919%
Epoch: 124   |   Top1: 58.16216%   |   Top5: 95.24324%   |   Top10: 98.37838%
Epoch: 125   |   Top1: 56.75676%   |   Top5: 91.24324%   |   Top10: 96.32432%
Epoch: 126   |   Top1: 62.16216%   |   Top5: 96.21622%   |   Top10: 98.37838%
Epoch: 127   |   Top1: 60.97297%   |   Top5: 95.89189%   |   Top10: 98.37838%
Epoch: 128   |   Top1: 60.10811%   |   Top5: 93.72973%   |   Top10: 97.51351%
Epoch: 129   |   Top1: 60.97297%   |   Top5: 94.91892%   |   Top10: 98.37838%
Epoch: 130   |   Top1: 56.75676%   |   Top5: 91.45946%   |   Top10: 96.10811%
Epoch: 131   |   Top1: 52.97297%   |   Top5: 89.83784%   |   Top10: 95.45946%
Epoch: 132   |   Top1: 51.89189%   |   Top5: 89.18919%   |   Top10: 94.81081%
Epoch: 133   |   Top1: 55.78378%   |   Top5: 93.18919%   |   Top10: 97.62162%
Epoch: 134   |   Top1: 56.64865%   |   Top5: 92.0%   |   Top10: 96.97297%
Epoch: 135   |   Top1: 58.81081%   |   Top5: 93.18919%   |   Top10: 97.62162%
Epoch: 136   |   Top1: 60.86486%   |   Top5: 93.62162%   |   Top10: 97.83784%
Epoch: 137   |   Top1: 57.08108%   |   Top5: 92.97297%   |   Top10: 96.86486%
Epoch: 138   |   Top1: 60.32432%   |   Top5: 95.56757%   |   Top10: 98.59459%
Epoch: 139   |   Top1: 60.75676%   |   Top5: 96.21622%   |   Top10: 98.48649%
Epoch: 140   |   Top1: 62.27027%   |   Top5: 94.05405%   |   Top10: 98.16216%
Epoch: 141   |   Top1: 60.97297%   |   Top5: 95.24324%   |   Top10: 98.81081%
Epoch: 142   |   Top1: 60.10811%   |   Top5: 95.56757%   |   Top10: 98.48649%
Epoch: 143   |   Top1: 59.02703%   |   Top5: 94.81081%   |   Top10: 98.05405%
Epoch: 144   |   Top1: 58.81081%   |   Top5: 94.05405%   |   Top10: 97.72973%
Epoch: 145   |   Top1: 58.81081%   |   Top5: 93.72973%   |   Top10: 97.40541%
Epoch: 146   |   Top1: 59.02703%   |   Top5: 94.37838%   |   Top10: 97.40541%
Epoch: 147   |   Top1: 63.78378%   |   Top5: 95.35135%   |   Top10: 99.02703%
Epoch: 148   |   Top1: 60.43243%   |   Top5: 94.81081%   |   Top10: 98.91892%
Epoch: 149   |   Top1: 58.91892%   |   Top5: 93.08108%   |   Top10: 98.27027%
Epoch: 150   |   Top1: 60.21622%   |   Top5: 92.54054%   |   Top10: 98.05405%
Epoch: 151   |   Top1: 60.86486%   |   Top5: 93.08108%   |   Top10: 98.05405%
Epoch: 152   |   Top1: 60.64865%   |   Top5: 94.16216%   |   Top10: 97.72973%
Epoch: 153   |   Top1: 57.2973%   |   Top5: 91.78378%   |   Top10: 96.75676%
Epoch: 154   |   Top1: 63.78378%   |   Top5: 94.37838%   |   Top10: 98.05405%
Epoch: 155   |   Top1: 61.51351%   |   Top5: 92.97297%   |   Top10: 98.05405%
Epoch: 156   |   Top1: 64.86486%   |   Top5: 94.59459%   |   Top10: 98.27027%
Epoch: 157   |   Top1: 54.59459%   |   Top5: 87.24324%   |   Top10: 93.08108%
Epoch: 158   |   Top1: 64.43243%   |   Top5: 95.02703%   |   Top10: 98.05405%
Epoch: 159   |   Top1: 63.78378%   |   Top5: 93.40541%   |   Top10: 97.72973%
Epoch: 160   |   Top1: 63.56757%   |   Top5: 95.45946%   |   Top10: 97.51351%
Epoch: 161   |   Top1: 65.18919%   |   Top5: 95.02703%   |   Top10: 98.37838%
Epoch: 162   |   Top1: 39.78378%   |   Top5: 72.0%   |   Top10: 81.18919%
Epoch: 163   |   Top1: 60.86486%   |   Top5: 93.51351%   |   Top10: 97.83784%
Epoch: 164   |   Top1: 62.27027%   |   Top5: 95.02703%   |   Top10: 98.7027%
Epoch: 165   |   Top1: 63.45946%   |   Top5: 95.13514%   |   Top10: 97.94595%
Epoch: 166   |   Top1: 65.72973%   |   Top5: 96.43243%   |   Top10: 99.02703%
Epoch: 167   |   Top1: 63.78378%   |   Top5: 95.35135%   |   Top10: 98.7027%
