Epoch: 108   |   Top1: 47.24324%   |   Top5: 88.43243%   |   Top10: 95.24324%
Epoch: 109   |   Top1: 45.62162%   |   Top5: 87.56757%   |   Top10: 96.21622%
Epoch: 110   |   Top1: 45.51351%   |   Top5: 82.59459%   |   Top10: 91.78378%
Epoch: 111   |   Top1: 47.89189%   |   Top5: 88.64865%   |   Top10: 94.27027%
Epoch: 112   |   Top1: 52.75676%   |   Top5: 90.27027%   |   Top10: 95.67568%
Epoch: 113   |   Top1: 50.91892%   |   Top5: 89.2973%   |   Top10: 95.89189%
Epoch: 114   |   Top1: 49.18919%   |   Top5: 87.13514%   |   Top10: 95.45946%
Epoch: 115   |   Top1: 48.75676%   |   Top5: 86.16216%   |   Top10: 94.91892%
Epoch: 116   |   Top1: 43.13514%   |   Top5: 83.35135%   |   Top10: 90.81081%
Epoch: 117   |   Top1: 45.72973%   |   Top5: 83.56757%   |   Top10: 92.32432%
Epoch: 118   |   Top1: 52.32432%   |   Top5: 89.94595%   |   Top10: 96.0%
Epoch: 119   |   Top1: 53.2973%   |   Top5: 92.0%   |   Top10: 96.86486%
Epoch: 120   |   Top1: 49.40541%   |   Top5: 87.89189%   |   Top10: 93.83784%
Epoch: 121   |   Top1: 53.2973%   |   Top5: 90.48649%   |   Top10: 95.78378%
Epoch: 122   |   Top1: 49.40541%   |   Top5: 86.7027%   |   Top10: 93.94595%
Epoch: 123   |   Top1: 49.18919%   |   Top5: 89.18919%   |   Top10: 95.56757%
Epoch: 124   |   Top1: 49.83784%   |   Top5: 87.24324%   |   Top10: 94.27027%
Epoch: 125   |   Top1: 49.2973%   |   Top5: 86.27027%   |   Top10: 93.2973%
Epoch: 126   |   Top1: 52.21622%   |   Top5: 88.32432%   |   Top10: 94.37838%
Epoch: 127   |   Top1: 58.7027%   |   Top5: 92.0%   |   Top10: 96.75676%
Epoch: 128   |   Top1: 46.81081%   |   Top5: 80.54054%   |   Top10: 88.0%
Epoch: 129   |   Top1: 49.2973%   |   Top5: 88.21622%   |   Top10: 95.13514%
Epoch: 130   |   Top1: 47.45946%   |   Top5: 84.21622%   |   Top10: 92.32432%
Epoch: 131   |   Top1: 52.86486%   |   Top5: 89.83784%   |   Top10: 95.45946%
Epoch: 132   |   Top1: 49.40541%   |   Top5: 87.67568%   |   Top10: 94.91892%
Epoch: 133   |   Top1: 53.18919%   |   Top5: 91.24324%   |   Top10: 96.21622%
Epoch: 134   |   Top1: 50.27027%   |   Top5: 89.08108%   |   Top10: 95.24324%
Epoch: 135   |   Top1: 56.0%   |   Top5: 93.62162%   |   Top10: 97.40541%
Epoch: 136   |   Top1: 50.59459%   |   Top5: 88.54054%   |   Top10: 94.91892%
Epoch: 137   |   Top1: 51.56757%   |   Top5: 92.10811%   |   Top10: 97.18919%
Epoch: 138   |   Top1: 56.10811%   |   Top5: 88.75676%   |   Top10: 96.10811%
Epoch: 139   |   Top1: 50.27027%   |   Top5: 87.35135%   |   Top10: 94.48649%
Epoch: 140   |   Top1: 42.27027%   |   Top5: 80.54054%   |   Top10: 90.16216%
Epoch: 141   |   Top1: 50.37838%   |   Top5: 87.45946%   |   Top10: 94.91892%
Epoch: 142   |   Top1: 48.86486%   |   Top5: 88.32432%   |   Top10: 95.78378%
Epoch: 143   |   Top1: 55.45946%   |   Top5: 91.67568%   |   Top10: 96.97297%
Epoch: 144   |   Top1: 55.78378%   |   Top5: 91.02703%   |   Top10: 96.54054%
Epoch: 145   |   Top1: 56.0%   |   Top5: 91.45946%   |   Top10: 97.18919%
Epoch: 146   |   Top1: 56.86486%   |   Top5: 92.64865%   |   Top10: 97.18919%
Epoch: 147   |   Top1: 52.10811%   |   Top5: 89.40541%   |   Top10: 95.78378%
Epoch: 148   |   Top1: 59.02703%   |   Top5: 92.75676%   |   Top10: 97.72973%
Epoch: 149   |   Top1: 51.67568%   |   Top5: 88.21622%   |   Top10: 94.59459%
Epoch: 150   |   Top1: 54.05405%   |   Top5: 90.37838%   |   Top10: 94.81081%
Epoch: 151   |   Top1: 58.05405%   |   Top5: 94.05405%   |   Top10: 97.62162%
Epoch: 152   |   Top1: 58.16216%   |   Top5: 92.21622%   |   Top10: 97.18919%
Epoch: 153   |   Top1: 57.94595%   |   Top5: 92.43243%   |   Top10: 96.97297%
Epoch: 154   |   Top1: 53.40541%   |   Top5: 87.35135%   |   Top10: 93.83784%
Epoch: 155   |   Top1: 49.94595%   |   Top5: 87.78378%   |   Top10: 94.16216%
Epoch: 156   |   Top1: 57.08108%   |   Top5: 91.56757%   |   Top10: 97.08108%
Epoch: 157   |   Top1: 57.51351%   |   Top5: 91.24324%   |   Top10: 96.54054%
Epoch: 158   |   Top1: 53.08108%   |   Top5: 90.81081%   |   Top10: 96.21622%
Epoch: 159   |   Top1: 49.51351%   |   Top5: 90.27027%   |   Top10: 97.2973%
Epoch: 160   |   Top1: 55.35135%   |   Top5: 91.24324%   |   Top10: 95.67568%
Epoch: 161   |   Top1: 59.13514%   |   Top5: 92.32432%   |   Top10: 97.08108%
Epoch: 162   |   Top1: 57.94595%   |   Top5: 92.54054%   |   Top10: 96.75676%
Epoch: 163   |   Top1: 58.48649%   |   Top5: 93.83784%   |   Top10: 97.62162%
Epoch: 164   |   Top1: 52.32432%   |   Top5: 89.40541%   |   Top10: 95.89189%
